,tractid,state,county,tract,POP00,NHWHT00,NHBLK00,NTV00,ASIAN00,HISP00,HAW00,INDIA00,CHINA00,FILIP00,JAPAN00,KOREA00,VIET00,MEX00,PR00,CUBAN00,HU00,VAC00,OHU00,A18UND00,A60UP00,A75UP00,AGEWHT00,A15WHT00,A60WHT00,AGEBLK00,A15BLK00,A60BLK00,AGEHSP00,A15HSP00,A60HSP00,AGENTV00,A15NTV00,A60NTV00,AGEASN00,A15ASN00,A60ASN00,FAMILY00,FHH00,OWN00,RENT00,GlobD00,GlobG00,percent_white00,percent_black00,percent_asian00,percent_hispanic00,percent_indian00,percent_chinese00,percent_filip00,percent_japan00,percent_korean00,percent_viet00,percent_mex00,percent_pr00,percent_cuban00,percent_vacant_housing00,percent_occupied_housing00,percent_under18_00,percent_60andup_00,percent_75andup_00,percent_owneroccupied_00,percent_renteroccupied_00,percent_non-white00,POP00SF3,FB00,NAT00,N10IMM00,AG5UP00,OLANG00,LEP00,AG25UP00,HS00,COL00,AG15UP00,Mar-00,WDS00,CLF00,UNEMP00,DFLABF00,FLABF00,EMPCLF00,PROF00,MANUF00,SEMP00,AG18CV00,VET00,DPOV00,NPOV00,N65POV00,DFMPOV00,NFMPOV00,DWPOV00,NWPOV00,DBPOV00,NBPOV00,DNAPOV00,NNAPOV00,DHPOV00,NHPOV00,DAPOV00,NAPOV00,INCPC00,HU00SP,H30OLD00,OHU00SP,H10YRS00,DMULTI00,MULTI00,HINC00,HINCW00,HINCB00,HINCH00,HINCA00,MHMVAL00,MRENT00,HH00,HHW00,HHB00,HHH00,HHA00,percent_foreign_born,percent_naturalized,percent_recent_immigrants(10),percent_other_languages,percent_hs_degree_orless,percent_4yrcollege_degree_ormore,percent_married,percent_unemployed,percent_employed,percent_professional,percent_manufacturing,percent_self_employed,percent_poverty,percent_houses_30yrsago,percent_multiunit_houses,year,population_bucket
0,25025000100,MA,Suffolk County,Census Tract 1,3968.0,2810.0,198.0,22.0,434.0,349.0,0.0,40.0,245.0,12.0,12.0,15.0,98.0,23.0,39.0,6.0,1614.0,51.0,1563.0,545.0,547.0,211.0,2810.0,231.0,467.0,145.0,30.0,5.0,349.0,84.0,18.0,8.0,2.0,0.0,403.0,92.0,40.0,697.0,62.0,441.0,1122.0,wbha,Global,70.81653225806451,4.98991935483871,10.9375,8.795362903225808,1.0080645161290325,6.174395161290323,0.3024193548387097,0.3024193548387097,0.3780241935483871,2.469758064516129,0.5796370967741935,0.9828629032258064,0.15120967741935484,3.159851301115242,96.84014869888478,13.734879032258064,13.785282258064516,5.317540322580644,27.323420074349446,69.51672862453532,37.626008064516135,3968.0,1033.0,447.0,417.0,3752.0,1290.0,306.0,2752.0,1206.0,1128.0,3478.0,1135.0,416.0,2446.0,102.0,1683.0,1112.0,2344.0,982.0,131.0,266.0,3414.0,257.0,3929.0,529.0,47.0,700.0,31.0,2819.0,433.0,143.0,13.0,31.0,0.0,327.0,56.0,423.0,7.0,21999.0,1614.0,1314.0,1563.0,1064.0,1614.0,1379.0,44630,42404,45000,57833,63500,222100,898,1562.0,1227.0,56.0,108.0,107.0,26.033266129032263,11.265120967741936,10.509072580645162,34.3816631130064,43.82267441860465,40.98837209302326,32.633697527314546,4.170073589533933,95.82992641046609,41.89419795221843,5.588737201365189,11.348122866894196,13.463985747009414,81.41263940520444,85.43990086741016,2000-01-01,3500-4500
1,25025000201,MA,Suffolk County,Census Tract 2.01,3887.0,3017.0,137.0,11.0,349.0,289.0,0.0,33.0,223.0,26.0,11.0,14.0,18.0,25.0,34.0,25.0,1574.0,31.0,1543.0,450.0,426.0,167.0,3017.0,222.0,369.0,109.0,28.0,7.0,289.0,70.0,19.0,6.0,0.0,1.0,328.0,52.0,26.0,655.0,45.0,463.0,1080.0,wha,Dual immig,77.61770002572679,3.5245690764085413,8.978646771288913,7.435039876511447,0.8489837921276049,5.737072292256238,0.6688963210702341,0.2829945973758683,0.36017494211474144,0.463082068433239,0.6431695394906097,0.8747105737072293,0.6431695394906097,1.9695044472681067,98.03049555273188,11.577051710830975,10.959608952919991,4.296372523797273,29.41550190597205,68.61499364675984,30.743503987651142,3887.0,1001.0,457.0,446.0,3774.0,1007.0,209.0,2771.0,808.0,1312.0,3526.0,1055.0,290.0,2805.0,54.0,1747.0,1342.0,2751.0,1351.0,223.0,173.0,3455.0,181.0,3875.0,337.0,19.0,680.0,19.0,2944.0,210.0,140.0,43.0,0.0,0.0,286.0,40.0,304.0,9.0,27675.0,1574.0,1458.0,1543.0,1128.0,1574.0,1272.0,62305,65950,50568,45455,71250,265600,991,1550.0,1313.0,27.0,80.0,86.0,25.752508361204015,11.757139181888347,11.474144584512477,26.68256491785904,29.15914832190545,47.34752796824251,29.92058990357345,1.925133689839572,98.07486631016044,49.10941475826972,8.106143220647038,6.288622319156669,8.696774193548388,92.6302414231258,80.81321473951715,2000-01-01,3500-4500
2,25025000202,MA,Suffolk County,Census Tract 2.02,3925.0,2523.0,299.0,10.0,606.0,442.0,0.0,45.0,377.0,4.0,7.0,22.0,107.0,19.0,130.0,15.0,1516.0,22.0,1494.0,747.0,546.0,185.0,2523.0,248.0,444.0,251.0,95.0,22.0,442.0,165.0,19.0,8.0,5.0,0.0,593.0,136.0,56.0,766.0,148.0,511.0,983.0,wbha,Global,64.28025477707007,7.617834394904459,15.439490445859873,11.261146496815286,1.1464968152866242,9.605095541401273,0.10191082802547773,0.17834394904458598,0.5605095541401274,2.7261146496815285,0.4840764331210191,3.3121019108280256,0.3821656050955414,1.4511873350923483,98.54881266490767,19.03184713375796,13.910828025477707,4.713375796178344,33.70712401055409,64.84168865435356,53.07006369426751,3925.0,1305.0,601.0,565.0,3709.0,1365.0,323.0,2708.0,1173.0,1051.0,3299.0,1319.0,377.0,2283.0,62.0,1700.0,1113.0,2221.0,1066.0,172.0,127.0,3184.0,215.0,3920.0,478.0,34.0,782.0,57.0,2505.0,164.0,202.0,37.0,16.0,2.0,443.0,101.0,576.0,102.0,23602.0,1516.0,1463.0,1494.0,959.0,1516.0,1212.0,56803,58370,90027,28417,53548.3871,276700,820,1494.0,1140.0,55.0,105.0,146.0,33.2484076433121,15.312101910828025,14.394904458598726,36.80237260717175,43.316100443131454,38.8109305760709,39.98181267050622,2.7157249233464738,97.28427507665351,47.9963980189104,7.7442593426384505,5.718144979738857,12.193877551020408,96.50395778364114,79.94722955145119,2000-01-01,3500-4500
3,25025000301,MA,Suffolk County,Census Tract 3.01,2923.0,2363.0,99.0,2.0,235.0,162.0,0.0,19.0,135.0,6.0,3.0,25.0,8.0,18.0,17.0,6.0,1194.0,35.0,1159.0,353.0,534.0,242.0,2363.0,197.0,484.0,86.0,20.0,5.0,162.0,44.0,11.0,2.0,0.0,1.0,209.0,32.0,23.0,529.0,48.0,445.0,714.0,wa,Single immig,80.84160109476565,3.3869312350325007,8.039685254875128,5.542251111871365,0.6500171057133083,4.618542593226136,0.20526855969893945,0.10263427984946973,0.8552856654122477,0.2736914129319193,0.6158056790968184,0.5815942524803285,0.20526855969893945,2.931323283082077,97.06867671691792,12.076633595620935,18.26890181320561,8.279165241190558,37.269681742043545,59.79899497487436,25.14539856312008,2833.0,691.0,346.0,324.0,2665.0,579.0,107.0,2165.0,791.0,966.0,2496.0,830.0,371.0,1669.0,27.0,1380.0,910.0,1642.0,876.0,65.0,115.0,2457.0,181.0,2671.0,240.0,18.0,507.0,29.0,2200.0,157.0,69.0,0.0,29.0,8.0,94.0,59.0,196.0,16.0,24920.0,1132.0,977.0,1132.0,725.0,1132.0,895.0,56321,59213,31250,6250,49166.66667,214400,971,1159.0,983.0,22.0,30.0,78.0,24.391104835863047,12.213201553123893,11.436639604659375,21.726078799249528,36.53579676674365,44.61893764434179,33.253205128205124,1.6177351707609346,98.38226482923906,53.349573690621185,3.958587088915956,7.003654080389769,8.985398727068514,86.30742049469966,79.06360424028269,2000-01-01,2500-3500
4,25025000302,MA,Suffolk County,Census Tract 3.02,2909.483505,2356.817139,66.78455353,8.711028099,375.5421143,92.91763306,0.0,30.00465393,259.3950806,11.61470413,21.29362488,32.90832901,10.64681244,3.871568203,13.55048847,1.935784101,1305.686401,20.32573318,1285.360596,268.1061096,449.1018982,179.06002809999995,2356.817139,165.50953669999996,404.5788879,55.16984558,5.807352066,1.935784101,92.91763306,13.55048847,4.8394603730000005,3.871568203,0.967892051,0.0,359.0879517,35.81200409,37.74779129,587.5104980000001,30.00465393,634.9371947999998,650.4234619,wa,Single immig,81.00465718227196,2.295409250996939,12.907518246954284,3.1936126429422744,1.031270803853552,8.915502705350445,0.3992015802818583,0.7318695859043888,1.1310711661862471,0.3659347929521944,0.13306719891508714,0.4657351879367331,0.06653359944035839,1.556708652585561,98.44328584685934,9.21490392158109,15.435794615374524,6.154357905527978,48.62861360229485,49.81467689346027,31.93612794697731,2938.520266,747.2126465,488.7854919,214.8720398,2872.703613,611.7077637,168.4132233,2209.69751,572.024231,1268.9064939999996,2703.32251,909.8185425,307.7896729,2045.155884,71.62400818,1374.406738,1026.9334720000004,1973.53186,1166.309937,189.7068481,113.2433701,2687.836182,189.7068481,2938.520266,163.57376100000005,8.711028099,606.8682861000002,9.678920746000001,2463.285156,163.57376100000005,15.48627281,0.0,10.64681244,0.0,70.6561203,0.0,279.72079469999994,0.0,35207.001280000004,1304.7185060000004,1041.451904,1272.778076,794.6393433,1304.7185060000004,1061.7775880000004,64749.99973,66613.00168,51250,108970.0021,54264.70435,259499.9961,1240.999993,1266.002808,1085.9748539999996,15.48627281,43.55514145,105.5002365,25.42819442648009,16.63372880410143,7.312253118896817,21.29380006109249,25.886992604702712,57.424443312152704,33.6555678848692,3.502129531559952,96.49786969490488,59.097598606794215,9.612555639208177,5.738107014902713,5.5665350650333085,79.82196153505006,81.37982125011722,2000-01-01,2500-3500
5,25025000401,MA,Suffolk County,Census Tract 4.01,5796.0,4434.0,169.0,8.0,861.0,266.0,0.0,82.0,583.0,12.0,57.0,62.0,19.0,26.0,25.0,17.0,2937.0,25.0,2912.0,413.0,1407.0,786.0,4434.0,262.0,1125.0,143.0,11.0,18.0,266.0,29.0,19.0,5.0,0.0,0.0,832.0,67.0,235.0,875.0,20.0,463.0,2449.0,wa,Single immig,76.50103519668737,2.9158040027605243,14.855072463768115,4.5893719806763285,1.4147688060731538,10.058661145617668,0.2070393374741201,0.9834368530020704,1.069703243616287,0.3278122843340235,0.4485852311939269,0.4313319530710835,0.2933057280883368,0.8512087163772557,99.14879128362274,7.125603864734299,24.27536231884058,13.561076604554865,15.764385427306776,83.38440585631595,37.732919254658384,5868.0,2423.0,1221.0,1251.0,5708.0,2754.0,1074.0,4021.0,1057.0,2290.0,5432.0,1826.0,919.0,3049.0,67.0,3025.0,1536.0,2982.0,1665.0,158.0,150.0,5358.0,132.0,5868.0,1276.0,484.0,1017.0,31.0,4368.0,878.0,154.0,29.0,0.0,0.0,262.0,56.0,1018.0,316.0,22609.0,2965.0,1951.0,2939.0,2381.0,2965.0,2700.0,30714,35598,9911,18929,20178.57143,202700,819,2946.0,2219.0,57.0,104.0,533.0,41.29175187457396,20.807770961145195,21.319018404907972,48.24807288016819,26.28699328525243,56.951007212136275,33.61561119293078,2.1974417841915383,97.80255821580845,55.835010060362166,5.298457411133468,5.030181086519113,21.745057941376963,65.80101180438449,91.06239460370995,2000-01-01,4500-8000
6,25025000402,MA,Suffolk County,Census Tract 4.02,3564.0,2735.0,108.0,14.0,466.0,171.0,0.0,34.0,323.0,19.0,22.0,23.0,9.0,25.0,27.0,5.0,1423.0,25.0,1398.0,298.0,433.0,168.0,2735.0,192.0,303.0,100.0,6.0,10.0,171.0,21.0,7.0,10.0,0.0,0.0,440.0,35.0,103.0,491.0,21.0,425.0,973.0,wa,Single immig,76.73961840628508,3.0303030303030303,13.075196408529742,4.797979797979798,0.9539842873176206,9.062850729517397,0.5331088664421998,0.6172839506172839,0.6453423120089786,0.2525252525252525,0.7014590347923682,0.7575757575757576,0.14029180695847362,1.7568517217146873,98.24314827828532,8.361391694725029,12.149270482603814,4.713804713804714,29.86647926914968,68.37666900913564,34.96071829405163,3564.0,819.0,330.0,364.0,3449.0,936.0,167.0,2314.0,547.0,1398.0,3328.0,997.0,301.0,2292.0,94.0,1568.0,1087.0,2198.0,1345.0,171.0,123.0,3286.0,136.0,3303.0,674.0,35.0,519.0,8.0,2548.0,465.0,78.0,13.0,10.0,5.0,161.0,69.0,408.0,88.0,25772.0,1423.0,1309.0,1398.0,1078.0,1423.0,1202.0,54833,55882,57708,45469,63040.54054,303200,1021,1400.0,1132.0,22.0,55.0,141.0,22.97979797979798,9.25925925925926,10.213243546576882,27.138300956799068,23.638720829732065,60.41486603284356,29.95793269230769,4.101221640488657,95.89877835951134,61.191992720655136,7.779799818016379,5.595996360327572,20.40569179533757,91.98875614898105,84.46943078004215,2000-01-01,3500-4500
7,25025000502,MA,Suffolk County,Census Tract 5.02,3177.918358,2374.938965,63.99835587,9.999743462,440.98867800000005,224.99421690000003,0.0,49.99871445,151.9960938,32.99915314,77.99799347,67.99825287,11.99969196,25.99933243,30.99920273,27.99928093,1991.948853,22.99940872,1968.949463,114.9970474,373.990387,176.9954529,2374.938965,70.99817657,324.9916381999999,53.99861145,0.0,8.999769211,224.99421690000003,9.999743462,15.99958897,3.999897242,0.0,0.0,414.9893494,20.99946022,18.99951172,409.9894714,12.99966621,273.9929504,1694.956421,wha,Dual immig,74.73253549832069,2.0138451860757343,13.876652208193706,7.079924389297355,1.5733165178436594,4.782882273151211,1.0383889522186398,2.454373734103336,2.139710502594353,0.3775959797643109,0.8181246181026026,0.975456233857094,0.8810572763619121,1.154618437384145,98.845382502399,3.618628122101053,11.768407645165816,5.569540591073927,13.755019361433373,85.090358542454,38.325991193131856,3075.920979,925.9761963,237.9938812,670.9827881,3035.9221190000007,935.9759521,202.9947815,2060.947021,288.9925841999999,1547.960205,3026.9221190000007,612.9842529,284.9926758,2278.941406,157.99594119999998,1629.95813,1228.968384,2120.945557,1409.963745,90.99766541,91.99763489,3021.922363,103.9973297,3075.920979,726.9813232000001,85.99778748,331.9914856000001,0.0,2425.9377440000007,501.9870911,76.99802399,0.0,0.0,0.0,178.9954071,13.99964046,288.9925841999999,178.9954071,29372.99909,1964.949463,1486.961792,1954.949829,1713.9559329999993,1964.949463,1964.949463,38958.00075,40673.00108,46161.00209,45050.00133,7112.67601,169700.0066,882.0000183,1960.949585,1499.961426,66.99827576,158.9959106,201.994812,30.104030715413252,7.737321043838168,21.81404505125293,30.830038301782928,14.02231989737304,75.10917016435039,20.251074484285397,6.932865442877473,93.06713860286058,66.47807343977006,4.2904291017593525,4.337576444919562,23.634590360521752,75.67430206219,100.0,2000-01-01,2500-3500
8,25025000503,MA,Suffolk County,Census Tract 5.03,2579.999936,2046.206787,89.66603088,4.903611183,267.5970459,147.4585876,0.350257933,38.17811584,120.8389893,16.81238174,25.91908646,32.92424393,7.705674648,31.52321434,24.16779709,15.4113493,1416.793335,25.21857071,1391.574829,110.6815033,307.1762085,157.6160736,2046.206787,49.03610992,259.5411377,77.05674744,8.055932045,6.654900551,147.4585876,14.01031685,13.3098011,1.7512896059999998,0.350257933,0.0,243.7795258,21.01547623,22.76676559,305.775177,15.76160717,247.6323547,1143.942383,wa,Single immig,79.31034254878371,3.4754276397005297,10.371978780545211,5.715449273561532,1.4797719684904669,4.683681871998308,0.6516427192655557,1.0046157791842674,1.27613351731494,0.2986695674088574,1.2218300434872569,0.9367363445547,0.5973391349727538,1.7799752502364787,98.22002931711985,4.289980854480145,11.906054888367253,6.109150291079698,17.478368127698733,80.7416547452914,31.916914983365327,2611.523149,659.8859252999998,274.6022339,444.1270447,2587.355469,764.2628174,231.5204926,1620.643433,226.61688230000004,1195.78064,2509.9482420000004,505.7724609,262.6934509,1777.55896,31.52321434,1387.721924,996.1335449,1746.035767,1089.302124,68.65055847,102.6255722,2498.0395510000008,66.19874573,2611.523149,624.5098877,94.21938324,309.9782715,17.51289749,2074.927979,441.3249817,64.09719849,29.77192497,3.502579212,0.0,161.46890259999995,34.67553711,252.1857147,95.97067261,25919.99935,1438.509277,1118.373535,1401.031738,1258.126465,1438.509277,1436.057495,39529.99936,41385.00203,16963.99976,37624.99867,30468.74976,132000.0021,901.0000211,1391.925049,1134.135132,20.66521835,74.25468445,128.5446625,25.268239554096326,10.51502200947942,17.00643721538767,29.538377179204673,13.983142601608904,73.7843140354736,20.15071276915996,1.7733990854514328,98.22660211507132,62.387159792929936,3.9317956577690203,5.877632872110575,23.913626342509595,77.74531265674973,99.82956091843128,2000-01-01,2500-3500
9,25025000504,MA,Suffolk County,Census Tract 5.04,4786.000064,3795.793213,166.3339691,9.096388817000001,496.4029541,273.5414124,0.649742067,70.82188416,224.1610107,31.18761826,48.08091354,61.07575607,14.29432583,58.47678757,44.83220291,28.58865166,2628.206543,46.78142929,2581.425293,205.3184967,569.8237915,292.3839417,3795.793213,90.96389008,481.4588623,142.9432526,14.94406796,12.34509945,273.5414124,25.98968315,24.6901989,3.248710394,0.649742067,0.0,452.22048949999987,38.98452377,42.23323441,567.2248535,29.23839378,459.3676453,2122.0576170000004,wa,Single immig,79.31034605602547,3.475427640529175,10.371979679522212,5.715449409571924,1.4797719016495192,4.6836817321864554,0.6516426628280129,1.0046158148149995,1.2761336241804109,0.29866957038970904,1.2218300624326943,0.9367363625258824,0.5973391407794181,1.7799753757785235,98.22003144598364,4.2899810688343525,11.906054824072815,6.1091503926064314,17.478369290400178,80.74166098748657,31.91691593725812,4844.4768509999985,1224.114014,509.3977661,823.8729248,4799.644531,1417.737183,429.4794922,3006.356445,420.3831177,2218.219482,4656.051758,938.2275391,487.3065491,3297.440918,58.47678757,2574.278076,1847.866455,3238.964111,2020.697876,127.3494415,190.3744202,4633.960449,122.8012543,4844.4768509999985,1158.490112,174.7806091,575.0217285,32.48710251,3849.072021,818.6749877999998,118.9028015,55.22807693,6.497420788,0.0,299.5310974,64.32446289,467.8143005,178.0293274,25920.00035,2668.490723,2074.626465,2598.968262000001,2333.873535,2668.490723,2663.942383,39530.00034,41385.00131,16964.00013,37625.00072,30468.75013,131999.9989,900.9999886,2582.074951,2103.864746,38.33478165,137.7453156,238.4553375,25.268239515837873,10.5150211626019,17.006437436684948,29.53837880791177,13.98314289708252,73.78431408854448,20.150711114582073,1.7733991002170248,98.22660031053816,62.38716474620426,3.9317953869109727,5.8776328997737375,23.913626747145337,77.74531300103754,99.82955383877493,2000-01-01,4500-8000
